apache=httpd

httpd	2.0.55-win32	2005-10-10
httpd	2.0.52-win32-x86	2004-09-28
httpd	2.0.40	2002-08-09

apache tomcat=tomcat
apache-tomcat=tomcat

tomcat	v8.0.0-RC5	2013-10-20
tomcat	v8.0.0-RC3	2013-09-23
tomcat	v8.0.1	2014-02-02
tomcat	v8.0.0-RC1	2013-08-05
tomcat	v8.0.0-RC10	2013-12-26
tomcat	v8.0.20	2015-02-20
tomcat	v8.0.5	2014-03-27
tomcat	v8.0.9	2014-06-24
tomcat	v8.0.8	2014-05-21
tomcat	v8.0.18	2015-01-26
tomcat	v8.0.17	2015-01-15
tomcat	v8.0.3	2014-02-11
tomcat	v8.0.15	2014-11-07
tomcat	v8.0.14	2014-09-29
tomcat	v8.0.12	2014-09-03
tomcat	v8.0.11	2014-08-22
tomcat	v7.0.8	2011-02-04
tomcat	v7.0.37	2013-02-18
tomcat	v7.0.53	2014-03-30
tomcat	v7.0.30	2012-09-05
tomcat	v7.0.52	2014-02-17
tomcat	v7.0.55	2014-07-27
tomcat	v7.0.5-beta	2010-11-30
tomcat	v7.0.6	2011-01-13
tomcat	v7.0.54	2014-05-22
tomcat	v7.0.32	2012-10-07
tomcat	v7.0.4-beta	2010-11-22
tomcat	v7.0.41	2013-06-10
tomcat	v7.0.0-beta	2010-06-13
tomcat	v7.0.29	2012-07-07
tomcat	v7.0.28	2012-06-18
tomcat	v7.0.39	2013-03-26
tomcat	v7.0.23	2011-11-20
tomcat	v7.0.22	2011-09-27
tomcat	v7.0.21	2011-08-29
tomcat	v7.0.20	2011-08-09
tomcat	v7.0.27	2012-06-13
tomcat	v7.0.26	2012-02-21
tomcat	v7.0.25	2012-01-23
tomcat	v7.0.33	2012-11-21
tomcat	v7.0.12	2011-04-05
tomcat	v7.0.34	2012-12-11
tomcat	v7.0.10	2011-03-05
tomcat	v7.0.11	2011-03-11
tomcat	v7.0.16	2011-06-11
tomcat	v7.0.59	2015-02-04
tomcat	v7.0.14	2011-05-12
tomcat	v7.0.35	2013-01-16
tomcat	v7.0.56	2014-10-06
tomcat	v7.0.57	2014-11-11
tomcat	v7.0.47	2013-10-24
tomcat	v7.0.19	2011-07-18
tomcat	v7.0.2-beta	2010-08-10
tomcat	v7.0.40	2013-05-09
tomcat	v7.0.50	2014-01-08
tomcat	v7.0.42	2013-07-05
tomcat	v6.0.9	2007-02-07
tomcat	v6.0.8	2007-01-18
tomcat	v6.0.1	2006-11-08
tomcat	v6.0.0	2006-10-21
tomcat	v6.0.2	2006-11-16
tomcat	v6.0.4	2006-12-08
tomcat	v6.0.6-alpha	2006-12-16
tomcat	v6.0.6	2006-12-16
tomcat	v6.0.9-alpha	2007-02-07
tomcat	v6.0.2-alpha	2006-11-16
tomcat	v6.0.7	2007-01-09
tomcat	v6.0.1-alpha	2006-11-08
tomcat	v6.0.8-alpha	2007-01-18
tomcat	v6.0.39	2014-01-31
tomcat	v6.0.7-alpha	2007-01-09
tomcat	v6.0.28	2010-07-08
tomcat	v6.0.29	2010-11-22
tomcat	v6.0.9-beta	2007-02-07
tomcat	v6.0.2-beta	2006-11-16
tomcat	v6.0.24	2010-01-19
